iter	Accuracy	Logloss
0	0.694125	0.6843651946
1	0.695375	0.6764911494
2	0.693	0.6693610501
3	0.691875	0.6629831141
4	0.691375	0.6560920039
5	0.69125	0.6498790297
6	0.691	0.6450319544
7	0.690875	0.6405721237
8	0.690875	0.6356447495
9	0.690875	0.6320614894
10	0.690875	0.6279394022
11	0.690875	0.6242444555
12	0.690875	0.6204353732
13	0.690875	0.6178815735
14	0.690875	0.6154332636
15	0.690875	0.612446571
16	0.690875	0.6098109578
17	0.690875	0.6076484464
18	0.690875	0.6052717007
19	0.690875	0.6033869187
20	0.690875	0.6011337421
21	0.690875	0.5992659572
22	0.690875	0.5973812404
23	0.690875	0.5952548454
24	0.690875	0.5930770422
25	0.690875	0.5915838879
26	0.690875	0.5902475653
27	0.690875	0.5889058558
28	0.690875	0.5870841747
29	0.690875	0.5850149389
30	0.690875	0.5834295883
31	0.690875	0.5821872176
32	0.690875	0.5805400073
33	0.690875	0.5786972038
34	0.691	0.5767943875
35	0.691	0.5754065104
36	0.691	0.5741358978
37	0.691	0.5726030923
38	0.691	0.5711305415
39	0.691	0.5701799876
40	0.691	0.5689779912
41	0.690875	0.5677629079
42	0.690875	0.5669606571
43	0.690875	0.5657166147
44	0.690875	0.5640490202
45	0.690875	0.5625261625
46	0.690875	0.5609111448
47	0.690875	0.5599762132
48	0.690875	0.5590818005
49	0.690875	0.5578199011
50	0.691125	0.5563894223
51	0.691125	0.5555342875
52	0.691125	0.5539630569
53	0.691125	0.5527903208
54	0.691	0.5517092016
55	0.691	0.550379024
56	0.691125	0.5491805538
57	0.69125	0.5478081018
58	0.69125	0.5465457543
59	0.69125	0.5450371516
60	0.6915	0.5442121482
61	0.691375	0.5435829578
62	0.691875	0.5421794049
63	0.692125	0.5407579638
64	0.69225	0.5397192173
65	0.692375	0.5385419284
66	0.692625	0.5377353554
67	0.69325	0.5365945738
68	0.692875	0.5352617094
69	0.69325	0.5342933298
70	0.693375	0.5335306604
71	0.693375	0.5326981847
72	0.694125	0.5316190242
73	0.69425	0.5303556488
74	0.694625	0.5293109314
75	0.6945	0.52819588
76	0.695125	0.5267794035
77	0.69525	0.5260096851
78	0.695375	0.525131805
79	0.6955	0.5239830909
80	0.695875	0.5231925122
81	0.696	0.5223173622
82	0.696125	0.5218368745
83	0.696125	0.5210785671
84	0.697125	0.5196997963
85	0.697125	0.518455442
86	0.697625	0.5173080109
87	0.698125	0.5162023411
88	0.6985	0.5154832801
89	0.69875	0.5147885001
90	0.699375	0.5134844522
91	0.699375	0.5125682178
92	0.699875	0.5116641989
93	0.70075	0.510958375
94	0.70125	0.5096941118
95	0.701875	0.508694476
96	0.701625	0.5072691678
97	0.703375	0.5065462178
98	0.704125	0.5052282685
99	0.704875	0.5037224249
100	0.7055	0.5025771022
101	0.706625	0.5010856691
102	0.707125	0.5000753657
103	0.707125	0.4991198828
104	0.7075	0.4984137141
