iter	Passed	Remaining
0	8	4466
1	15	3977
2	22	3753
3	30	3824
4	38	3848
5	46	3835
6	52	3732
7	59	3640
8	65	3596
9	72	3560
10	81	3603
11	88	3593
12	95	3575
13	101	3540
14	108	3507
15	114	3465
16	120	3432
17	127	3405
18	133	3384
19	139	3359
20	146	3347
21	153	3334
22	159	3315
23	166	3303
24	172	3281
25	178	3251
26	184	3231
27	190	3207
28	195	3181
29	201	3161
30	207	3139
31	214	3131
32	221	3132
33	229	3142
34	236	3145
35	242	3126
36	249	3124
37	256	3117
38	263	3116
39	270	3112
40	277	3111
41	285	3112
42	293	3124
43	301	3122
44	308	3116
45	315	3109
46	322	3104
47	328	3096
48	335	3086
49	340	3067
50	346	3047
51	353	3045
52	360	3037
53	366	3029
54	373	3024
55	380	3014
56	386	3001
57	392	2987
58	398	2978
59	404	2967
60	412	2967
61	419	2960
62	425	2954
63	432	2946
64	438	2934
65	444	2922
66	450	2911
67	456	2898
68	462	2888
69	467	2874
70	474	2864
71	479	2852
72	486	2843
73	492	2836
74	498	2825
75	504	2814
76	511	2807
77	515	2791
78	521	2777
79	526	2766
80	532	2753
81	537	2739
82	542	2726
83	547	2713
84	553	2701
85	558	2689
86	563	2675
87	568	2663
88	574	2652
89	580	2642
90	585	2629
91	590	2617
92	595	2607
93	601	2596
94	606	2584
95	611	2573
96	617	2564
97	622	2552
98	627	2543
99	633	2533
100	638	2521
101	643	2512
102	649	2505
103	655	2496
104	661	2486
105	667	2482
106	674	2478
107	680	2469
108	685	2458
109	690	2448
110	695	2437
111	701	2429
112	707	2421
113	712	2412
114	717	2402
115	722	2393
116	727	2383
117	732	2372
118	738	2364
119	743	2355
120	748	2345
121	753	2335
122	759	2327
123	764	2318
124	770	2312
125	776	2304
126	781	2296
127	787	2289
128	793	2282
129	799	2274
130	804	2266
131	809	2257
132	815	2249
133	820	2241
134	825	2233
135	830	2223
136	835	2214
137	841	2206
138	846	2199
139	853	2194
140	860	2190
141	866	2184
142	871	2176
143	877	2169
144	882	2161
145	887	2153
146	893	2145
147	899	2138
148	904	2129
149	909	2121
150	914	2113
151	919	2105
152	926	2100
153	932	2094
154	938	2088
155	944	2082
156	950	2076
157	956	2070
158	963	2065
159	969	2059
160	974	2052
161	980	2045
162	986	2039
163	991	2032
164	997	2025
165	1003	2018
166	1009	2012
167	1015	2006
168	1021	2000
169	1026	1993
170	1032	1986
171	1038	1979
172	1043	1972
173	1050	1967
174	1056	1962
175	1063	1958
176	1071	1954
177	1077	1948
178	1083	1942
179	1089	1936
180	1094	1929
181	1100	1922
182	1105	1914
183	1111	1908
184	1116	1900
185	1121	1892
186	1126	1884
187	1131	1877
188	1136	1870
189	1142	1863
190	1147	1855
191	1152	1848
192	1157	1841
193	1162	1833
194	1167	1826
195	1172	1818
196	1177	1811
197	1182	1804
198	1188	1798
199	1194	1792
200	1200	1786
201	1206	1779
202	1211	1772
203	1216	1765
204	1221	1757
205	1226	1750
206	1231	1743
207	1236	1736
208	1241	1728
209	1246	1721
210	1251	1714
211	1257	1707
212	1262	1701
213	1267	1694
214	1272	1687
215	1278	1680
216	1283	1673
217	1288	1666
218	1293	1659
219	1298	1652
220	1303	1645
221	1308	1638
222	1314	1632
223	1320	1626
224	1326	1621
225	1333	1616
226	1339	1611
227	1344	1604
228	1350	1598
229	1355	1591
230	1360	1584
231	1365	1577
232	1370	1570
233	1375	1563
234	1380	1557
235	1386	1550
236	1391	1544
237	1397	1538
238	1402	1531
239	1407	1525
240	1413	1519
241	1419	1513
242	1426	1508
243	1432	1502
244	1437	1496
245	1442	1489
246	1448	1483
247	1453	1476
248	1458	1469
249	1463	1463
250	1468	1456
251	1474	1451
252	1480	1444
253	1485	1438
254	1491	1432
255	1496	1426
256	1501	1420
257	1507	1413
258	1512	1407
259	1519	1402
260	1524	1395
261	1529	1389
262	1535	1383
263	1540	1376
264	1544	1370
265	1550	1364
266	1556	1358
267	1561	1351
268	1566	1344
269	1571	1338
270	1576	1332
271	1582	1326
272	1587	1319
273	1591	1313
274	1597	1307
275	1603	1301
276	1608	1294
277	1614	1289
278	1619	1283
279	1625	1277
280	1630	1271
281	1636	1264
282	1641	1258
283	1646	1252
284	1651	1246
285	1656	1239
286	1662	1233
287	1667	1227
288	1672	1221
289	1678	1215
290	1683	1208
291	1688	1202
292	1693	1196
293	1698	1190
294	1704	1184
295	1709	1178
296	1714	1171
297	1719	1165
298	1724	1159
299	1729	1152
300	1735	1147
301	1741	1142
302	1748	1136
303	1755	1131
304	1761	1126
305	1768	1121
306	1775	1116
307	1782	1111
308	1788	1105
309	1794	1099
310	1801	1094
311	1807	1089
312	1813	1083
313	1820	1078
314	1826	1072
315	1831	1066
316	1836	1060
317	1841	1054
318	1846	1047
319	1852	1041
320	1857	1035
321	1862	1029
322	1868	1023
323	1873	1017
324	1878	1011
325	1883	1005
326	1889	999
327	1895	993
328	1900	987
329	1905	981
330	1910	975
331	1916	969
332	1922	964
333	1927	957
334	1933	952
335	1939	946
336	1946	941
337	1953	936
338	1959	930
339	1964	924
340	1969	918
341	1974	912
342	1979	906
343	1984	899
344	1989	893
345	1995	888
346	2000	882
347	2005	876
348	2011	870
349	2016	864
350	2021	858
351	2027	852
352	2033	846
353	2039	841
354	2045	835
355	2050	829
356	2055	823
357	2060	817
358	2065	811
359	2070	805
360	2076	799
361	2080	793
362	2086	787
363	2091	781
364	2096	775
365	2101	769
366	2107	763
367	2113	757
368	2118	752
369	2124	746
370	2129	740
371	2134	734
372	2140	728
373	2145	722
374	2150	716
375	2155	710
376	2160	704
377	2166	699
378	2172	693
379	2178	687
380	2183	681
381	2189	676
382	2194	670
383	2199	664
384	2204	658
385	2209	652
386	2215	646
387	2221	641
388	2226	635
389	2231	629
390	2236	623
391	2241	617
392	2246	611
393	2251	605
394	2256	599
395	2261	594
396	2267	588
397	2272	582
398	2277	576
399	2282	570
400	2287	564
401	2293	559
402	2298	553
403	2303	547
404	2309	541
405	2314	535
406	2319	530
407	2324	524
408	2329	518
409	2335	512
410	2340	506
411	2345	501
412	2351	495
413	2355	489
414	2360	483
415	2366	477
416	2371	472
417	2377	466
418	2382	460
419	2388	454
420	2393	449
421	2398	443
422	2404	437
423	2409	431
424	2414	426
425	2419	420
426	2425	414
427	2430	408
428	2435	403
429	2440	397
430	2447	391
431	2452	386
432	2457	380
433	2462	374
434	2468	368
435	2473	363
436	2478	357
437	2484	351
438	2489	345
439	2495	340
440	2502	334
441	2508	329
442	2514	323
443	2520	317
444	2525	312
445	2531	306
446	2536	300
447	2541	295
448	2546	289
449	2551	283
450	2556	277
451	2561	272
452	2567	266
453	2572	260
454	2577	254
455	2583	249
456	2589	243
457	2595	237
458	2600	232
459	2605	226
460	2610	220
461	2615	215
462	2621	209
463	2626	203
464	2632	198
465	2637	192
466	2642	186
467	2647	181
468	2653	175
469	2658	169
470	2664	164
471	2669	158
472	2674	152
473	2680	147
474	2685	141
475	2690	135
476	2696	130
477	2701	124
478	2706	118
479	2711	112
480	2717	107
481	2722	101
482	2729	96
483	2735	90
484	2741	84
485	2746	79
486	2752	73
487	2758	67
488	2763	62
489	2768	56
490	2774	50
491	2779	45
492	2784	39
493	2789	33
494	2794	28
495	2800	22
496	2805	16
497	2810	11
498	2816	5
499	2821	0
