iter	Passed	Remaining
0	20	12284
1	35	10515
2	51	10223
3	62	9308
4	75	8949
5	90	8944
6	104	8888
7	147	10923
8	161	10618
9	174	10321
10	188	10080
11	201	9850
12	214	9668
13	227	9516
14	240	9395
15	256	9378
16	271	9298
17	284	9196
18	300	9192
19	318	9235
20	333	9202
21	348	9145
22	362	9091
23	377	9060
24	392	9035
25	408	9013
26	421	8939
27	435	8894
28	451	8888
29	466	8858
30	479	8794
31	493	8760
32	508	8730
33	523	8708
34	539	8709
35	558	8751
36	577	8787
37	616	9115
38	635	9145
39	654	9160
40	670	9136
41	685	9108
42	703	9109
43	718	9074
44	736	9087
45	753	9070
46	768	9041
47	783	9012
48	797	8968
49	812	8935
50	826	8895
51	841	8867
52	857	8851
53	873	8830
54	889	8810
55	905	8796
56	921	8777
57	936	8748
58	951	8723
59	966	8699
60	983	8686
61	998	8662
62	1013	8638
63	1031	8638
64	1049	8639
65	1065	8620
66	1083	8618
67	1100	8608
68	1114	8579
69	1127	8540
70	1140	8495
71	1152	8452
72	1165	8416
73	1178	8375
74	1190	8333
75	1202	8293
76	1216	8263
77	1229	8228
78	1241	8187
79	1254	8151
80	1265	8109
81	1277	8072
82	1289	8033
83	1302	7999
84	1314	7966
85	1328	7937
86	1340	7905
87	1354	7880
88	1368	7855
89	1381	7829
90	1393	7796
91	1406	7768
92	1419	7741
93	1433	7716
94	1446	7691
95	1459	7663
96	1472	7637
97	1486	7613
98	1498	7584
99	1512	7562
100	1524	7533
101	1537	7505
102	1552	7492
103	1566	7469
104	1578	7443
105	1591	7415
106	1604	7394
107	1617	7370
108	1632	7352
109	1644	7324
110	1655	7295
111	1668	7271
112	1682	7250
113	1695	7226
114	1707	7202
115	1722	7187
116	1735	7162
117	1746	7135
118	1761	7118
119	1772	7091
120	1786	7072
121	1799	7049
122	1811	7025
123	1823	7000
124	1835	6973
125	1847	6950
126	1860	6927
127	1871	6902
128	1884	6882
129	1897	6859
130	1910	6839
131	1925	6825
132	1938	6806
133	1951	6787
134	1964	6765
135	1976	6742
136	1989	6722
137	2000	6698
138	2012	6674
139	2024	6651
140	2037	6632
141	2049	6611
142	2061	6588
143	2072	6563
144	2084	6542
145	2096	6519
146	2108	6497
147	2121	6477
148	2133	6456
149	2145	6437
150	2157	6416
151	2169	6394
152	2186	6387
153	2198	6367
154	2210	6345
155	2221	6323
156	2233	6303
157	2247	6288
158	2260	6269
159	2272	6249
160	2283	6227
161	2295	6207
162	2309	6192
163	2322	6173
164	2334	6154
165	2346	6135
166	2357	6112
167	2368	6089
168	2380	6070
169	2390	6046
170	2403	6029
171	2414	6008
172	2426	5988
173	2438	5968
174	2450	5950
175	2461	5930
176	2473	5911
177	2485	5891
178	2498	5876
179	2509	5856
180	2521	5835
181	2533	5818
182	2544	5798
183	2556	5779
184	2567	5759
185	2579	5741
186	2591	5723
187	2603	5705
188	2615	5686
189	2627	5669
190	2639	5652
191	2652	5636
192	2663	5617
193	2675	5600
194	2705	5619
195	2720	5607
196	2737	5601
197	2753	5590
198	2768	5579
199	2783	5566
200	2795	5548
201	2808	5534
202	2823	5521
203	2840	5513
204	2856	5504
205	2871	5491
206	2884	5475
207	2897	5461
208	2911	5446
209	2924	5431
210	2937	5414
211	2949	5398
212	2962	5382
213	2977	5370
214	2992	5359
215	3006	5344
216	3019	5329
217	3032	5314
218	3046	5300
219	3059	5284
220	3073	5270
221	3087	5257
222	3101	5242
223	3115	5229
224	3129	5216
225	3142	5200
226	3156	5186
227	3168	5170
228	3181	5154
229	3193	5138
230	3206	5122
231	3219	5106
232	3232	5091
233	3245	5075
234	3258	5060
235	3270	5045
236	3283	5029
237	3296	5013
238	3308	4997
239	3321	4982
240	3333	4966
241	3347	4952
242	3360	4936
243	3373	4922
244	3386	4907
245	3399	4892
246	3414	4879
247	3428	4865
248	3441	4851
249	3453	4835
250	3466	4820
251	3480	4805
252	3491	4789
253	3501	4769
254	3512	4751
255	3522	4732
256	3532	4714
257	3542	4696
258	3554	4680
259	3565	4662
260	3575	4644
261	3586	4626
262	3596	4608
263	3606	4590
264	3617	4573
265	3627	4555
266	3637	4537
267	3648	4520
268	3659	4503
269	3670	4486
270	3682	4470
271	3693	4453
272	3704	4437
273	3715	4420
274	3727	4405
275	3739	4390
276	3750	4373
277	3761	4357
278	3773	4341
279	3785	4325
280	3797	4310
281	3811	4297
282	3823	4283
283	3835	4267
284	3847	4252
285	3858	4236
286	3871	4221
287	3882	4206
288	3893	4190
289	3905	4174
290	3917	4159
291	3930	4145
292	3943	4131
293	3955	4116
294	3966	4101
295	3979	4086
296	3991	4071
297	4005	4058
298	4017	4044
299	4029	4029
300	4041	4015
301	4054	4000
302	4065	3985
303	4077	3969
304	4090	3956
305	4102	3942
306	4116	3928
307	4128	3913
308	4140	3899
309	4152	3884
310	4165	3871
311	4178	3857
312	4190	3842
313	4202	3827
314	4215	3814
315	4229	3801
316	4241	3786
317	4254	3772
318	4266	3758
319	4279	3744
320	4292	3731
321	4307	3718
322	4319	3704
323	4331	3689
324	4344	3675
325	4357	3662
326	4372	3650
327	4385	3637
328	4399	3623
